pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,dificultad,tema
¿Qué función abre un archivo en Python?,open(),file(),read(),load(),A,Fácil,Manejo de archivos
¿Qué función abre un archivo en Python?,open(),file(),read(),load(),A,Fácil,Manejo de archivos
¿Qué función abre un archivo en Python?,open(),file(),read(),load(),A,Fácil,Manejo de archivos
¿Qué función abre un archivo en Python?,open(),file(),read(),load(),A,Fácil,Manejo de archivos
¿Cuál es la salida de print(5 // 2)?,2.5,2,3,2.0,B,Fácil,Operadores Aritméticos
¿Qué función obtiene la longitud de una lista?,size(),length(),len(),count(),C,Fácil,Funciones Built-in
¿Cuál es el resultado de 3 ** 2?,6,8,9,12,C,Fácil,Operadores Aritméticos
¿Qué método agrega un elemento al final de una lista?,add(),append(),insert(),push(),B,Fácil,Listas
"¿Cuál es la salida de for i in range(3): print(i, end=' ')?",0 1 2,1 2 3,0 1 2 3,1 2 3 4,A,Media,Bucles
¿Qué palabra clave define una función?,function,def,define,func,B,Fácil,Funciones
"¿Cuál es la salida de lista[1]=5 en [1,2,3]?","[1,2,3]","[5,2,3]","[1,5,3]",Error,C,Media,Listas
¿Qué hace el operador 'is'?,Compara valores,Compara identidad,Compara tipos,Compara igualdad,B,Media,Operadores de Identidad
¿Cómo se crea un diccionario?,"{1,2,3}","[1,2,3]",{'nombre': 'Juan'},"('nombre','Juan')",C,Fácil,Diccionarios
¿Qué función lee entrada del usuario?,read(),input(),scan(),get(),B,Fácil,Entrada/Salida
¿Cuál es la salida de bool([])?,True,False,Error,None,B,Media,Tipos de Datos
¿Qué método elimina el último elemento de una lista?,remove(),pop(),delete(),discard(),B,Media,Listas
¿Cuál es el resultado de 'Hola' * 2?,'HolaHola','Hola2',Error,'Hola Hola',A,Fácil,Strings
¿Qué palabra clave se usa para manejar excepciones?,try,catch,except,throw,A,Media,Manejo de Errores
¿Cuál es la salida de len(range(5))?,4,5,6,Error,B,Media,Funciones Built-in
¿Cómo se accede al primer elemento de una lista llamada 'datos'?,datos[0],datos[1],datos.first(),datos[0:],A,Fácil,Listas
¿Qué función convierte un string a entero?,str(),int(),float(),char(),B,Fácil,Conversión de Tipos
¿Cuál es la salida de print(10 % 3)?,1,3,0,2,A,Fácil,Operadores Aritméticos
¿Qué método convierte una lista en un string?,join(),split(),concat(),merge(),A,Media,Strings
¿Cuál es la salida de type([])?,list,array,tuple,dict,A,Fácil,Tipos de Datos
¿Qué operador se usa para concatenar strings?,+,&,.,*,A,Fácil,Strings
¿Cuál es la salida de 'Python'[0]?,P,y,t,h,A,Fácil,Strings
¿Qué método cuenta las ocurrencias de un elemento en una lista?,count(),len(),size(),total(),A,Media,Listas
¿Cuál es la salida de 5 == 5.0?,True,False,Error,None,A,Media,Comparaciones
¿Qué palabra clave se usa para crear una clase?,class,object,def,struct,A,Fácil,Programación Orientada a Objetos
¿Cuál es la salida de print(2 * 3 + 4)?,10,14,12,16,A,Fácil,Operadores Aritméticos
¿Cómo se comenta una línea en Python?,//,#,/*,--,B,Fácil,Sintaxis Básica
¿Qué método ordena una lista?,sort(),order(),arrange(),sorted(),A,Media,Listas
¿Cuál es la salida de bool('')?,True,False,Error,None,B,Media,Tipos de Datos
¿Qué función devuelve el valor absoluto de un número?,abs(),absolute(),mod(),pos(),A,Fácil,Funciones Built-in
¿Cuál es la salida de len('Python')?,5,6,7,8,B,Fácil,Strings
¿Cómo se declara una variable en Python?,var x = 5,x = 5,int x = 5,$x = 5,B,Fácil,Variables
"¿Cuál es la salida de max([1,5,3])?",1,3,5,8,C,Fácil,Funciones Built-in
¿Qué método elimina un elemento por su valor?,remove(),pop(),delete(),discard(),A,Media,Listas
¿Cuál es la salida de print(2 ** 3)?,6,8,9,12,B,Fácil,Operadores Aritméticos
¿Qué función devuelve el número de elementos de un objeto?,len(),count(),size(),length(),A,Fácil,Funciones Built-in
"¿Cuál es la salida de bool([1,2,3])?",True,False,Error,None,A,Media,Tipos de Datos
¿Cómo se accede al último elemento de una lista?,lista[-1],lista[último],lista[-2],lista[0],A,Media,Listas
¿Qué operador se usa para comparar si dos valores son iguales?,=,==,===,!=,B,Fácil,Operadores de Comparación
¿Cuál es la salida de 'Python'[::-1]?,'nohtyP','Python','noht yP','Pyt hon',A,Media,Strings
¿Qué función convierte un número a string?,str(),int(),float(),char(),A,Fácil,Conversión de Tipos
¿Cuál es la salida de 7 // 3?,2,2.33,3,2.0,A,Fácil,Operadores Aritméticos
