id_venta,fecha,producto_id,producto,cantidad,precio_unitario,descuento_pct,subtotal
1,2026-08-19 00:34:58,1,Cuaderno Universitario,12,1.5,5.0,17.1
2,2026-08-19 00:34:58,2,Lapiz HB,5,0.75,0.0,3.75
3,2026-08-19 00:34:58,3,Mochila Escolar,3,28.0,0.0,84.0
4,2026-08-19 00:34:58,4,Audifonos Bluetooth,2,18.5,0.0,37.0
5,2026-08-19 00:34:58,5,Mouse Inalambrico,15,12.0,5.0,171.0
6,2026-08-19 00:34:58,6,Cargador USB-C,4,8.5,0.0,34.0
7,2026-08-19 00:34:58,1,Cuaderno Universitario,6,1.5,0.0,9.0
8,2026-08-19 00:34:58,2,Lapiz HB,11,0.75,5.0,7.84
9,2026-08-19 00:34:58,3,Mochila Escolar,8,28.0,0.0,224.0
10,2026-08-19 00:34:58,4,Audifonos Bluetooth,1,18.5,0.0,18.5
